observation_date,AAA Corporate Bond Spread,BAA Corporate Bonds vs. 10Y
1986-01-01,0.85,2.24
1986-02-01,0.96,2.41
1986-03-01,1.22,2.72
1986-04-01,1.49,2.89
1986-05-01,1.38,2.58
1986-06-01,1.33,2.54
1986-07-01,1.57,2.86
1986-08-01,1.56,3.02
1986-09-01,1.44,2.75
1986-10-01,1.43,2.81
1986-11-01,1.43,2.81
1986-12-01,1.38,2.86
1987-01-01,1.28,2.64
1987-02-01,1.13,2.4
1987-03-01,1.12,2.36
1987-04-01,0.83,2.02
1987-05-01,0.71,1.9
1987-06-01,0.92,2.12
1987-07-01,0.97,2.16
1987-08-01,0.91,2.04
1987-09-01,0.76,1.88
1987-10-01,0.99,2.09
1987-11-01,1.16,2.37
1987-12-01,1.13,2.3
1988-01-01,1.21,2.4
1988-02-01,1.18,2.41
1988-03-01,1.01,2.2
1988-04-01,0.95,2.18
1988-05-01,0.82,1.95
1988-06-01,0.93,2.08
1988-07-01,0.91,2.06
1988-08-01,0.85,1.95
1988-09-01,0.84,1.92
1988-10-01,0.71,1.61
1988-11-01,0.49,1.52
1988-12-01,0.46,1.54
1989-01-01,0.53,1.56
1989-02-01,0.47,1.44
1989-03-01,0.44,1.31
1989-04-01,0.62,1.44
1989-05-01,0.71,1.6
1989-06-01,0.82,1.76
1989-07-01,0.91,1.86
1989-08-01,0.85,1.76
1989-09-01,0.81,1.72
1989-10-01,0.91,1.8
1989-11-01,1.02,1.94
1989-12-01,1.02,1.98
1990-01-01,0.78,1.74
1990-02-01,0.75,1.67
1990-03-01,0.78,1.62
1990-04-01,0.68,1.52
1990-05-01,0.71,1.65
1990-06-01,0.78,1.74
1990-07-01,0.77,1.72
1990-08-01,0.66,1.66
1990-09-01,0.67,1.74
1990-10-01,0.81,2.02
1990-11-01,0.9,2.23
1990-12-01,0.98,2.36
1991-01-01,0.95,2.36
1991-02-01,0.97,2.21
1991-03-01,0.82,1.98
1991-04-01,0.82,1.9
1991-05-01,0.79,1.8
1991-06-01,0.72,1.68
